Transect Point Shore(m) Surveyor Latitude Longitude Date (m) Substrate Notes CerDem MyrSpi NajMin NymOdo PotFol StuPec ValAme
3 3 10.0 Greg Bugbee 41.47026 -73.43520 8/15/2013 1.60 Sand 0 2 2 0 0 0 0
3 4 20.0 Greg Bugbee 41.47027 -73.43507 8/15/2013 4.00 Sand 0 0 0 0 0 0 0
3 5 30.0 Greg Bugbee 41.47026 -73.43493 8/15/2013 7.80 Silt 0 0 0 0 0 0 0
3 6 40.0 Greg Bugbee 41.47028 -73.43485 8/15/2013 9.00 Silt 0 0 0 0 0 0 0
3 7 50.0 Greg Bugbee 41.47039 -73.43470 8/15/2013 9.00 Silt 0 0 0 0 0 0 0
3 8 60.0 Greg Bugbee 41.47042 -73.43460 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
3 9 70.0 Greg Bugbee 41.47048 -73.43454 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
3 10 80.0 Greg Bugbee 41.47038 -73.43437 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
4 1 0.2 Greg Bugbee 41.57124 -73.48836 8/21/2013 0.20 Muck 0 2 0 0 0 0 0

Transect Point Shore(m) Surveyor Latitude Longitude Date (m) Substrate Notes CerDem MyrSpi NajMin NymOdo PotFol StuPec ValAme
1 1 0.5 Greg Bugbee 41.42382 -73.45253 8/20/2013 0.10 Sand 0 0 0 0 0 0 0
1 2 5.0 Greg Bugbee 41.42386 -73.45256 8/20/2013 0.40 Muck 2 2 1 0 0 0 0
1 3 10.0 Greg Bugbee 41.42390 -73.45258 8/20/2013 1.00 Muck 2 2 1 0 0 0 0
1 4 20.0 Greg Bugbee 41.42398 -73.45260 8/20/2013 1.00 Muck 2 2 1 0 0 0 0
1 5 30.0 Greg Bugbee 41.42409 -73.45261 8/20/2013 1.30 Muck 0 0 0 0 0 0 0
1 6 40.0 Greg Bugbee 41.42417 -73.45269 8/20/2013 1.50 Muck 2 0 0 0 0 0 0
1 7 50.0 Greg Bugbee 41.42428 -73.45268 8/20/2013 1.60 Muck 2 0 2 0 0 0 0
1 8 60.0 Greg Bugbee 41.42436 -73.45274 8/20/2013 1.50 Muck 2 2 0 0 0 0 0
1 9 70.0 Greg Bugbee 41.42442 -73.45281 8/20/2013 1.40 Muck 2 2 2 0 0 0 0
1 10 80.0 Greg Bugbee 41.42450 -73.45286 98/20/2013 1.20 Muck 0 0 3 0 0 0 0
2 1 0.1 Greg Bugbee 41.42767 -73.44932 8/20/2013 0.10 Gravel 2 2 0 ) 8) 0 0
2 2 5.0 Greg Bugbee 41.42764 -73.44937 8/20/2013 1.00 Sand 2 2 2 0 0 0 0
2 3 10.0 Greg Bugbee 41.42767 -73.44945 8/20/2013 2.00 Sand 3 0 0 0 0 0 0
2 4 20.0 Greg Bugbee 41.42756 -73.44953 8/20/2013 2.50 Silt 4 0 0 ) 0 0 0
2 5 30.0 Greg Bugbee 41.42750 -73.44956 8/20/2013 2.80 Sand 2 0 0 ) 0 0 0
2 6 40.0 Greg Bugbee 41.42750 -73.44974 8/20/2013 1.70 Sand 0 0 0 0 0 0 0
2 7 50.0 Greg Bugbee 41.42747 -73.44986 8/20/2013 2.50 Silt 2 0 0 0 0 0 0
2 8 60.0 Greg Bugbee 41.42732 -73.44987 8/20/2013 2.60 Silt 2 0 0 0 0 0 0
2 g 70.0 Greg Bugbee 41.42726 -73.44997 8/20/2013 2.80 Sand 2 0 0 0 0 0 0
2 10 80.0 Greg Bugbee 41.42718 -73.45006 8/20/2013 2.90 Silt 2 2 0 0 0 0 0
3 1 0.2 Greg Bugbee 41.47027 -73.43532 8/15/2013 0.20 Gravel 0 0 0 0 0 2 0
3 2 5.0 Greg Bugbee 41.47030 -73.43527 8/15/2013 0.80 Gravel 0 0 2 0 0 2 0
3 3 10.0 Greg Bugbee 41.47026 -73.43520 8/15/2013 1.60 Sand 0 2 2 0 0 0 0
3 4 20.0 Greg Bugbee 41.47027 -73.43507 8/15/2013 4.00 Sand 0 8) 0 0 0 0 0
3 5 30.0 Greg Bugbee 41.47026 -73.43493 8/15/2013 7.80 Silt 0 0 0 0 0 0 0
3 6 40.0 Greg Bugbee 41.47028 -73.43485 98/15/2013 9.00 Silt 0 0 0 0 0 0 0
3 7 50.0 Greg Bugbee 41.47039 -73.43470 98/15/2013 9.00 Silt 0 fs) 0 0 0 0 0
3 8 60.0 Greg Bugbee 41.47042 -73.43460 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
3 9 70.0 Greg Bugbee 41.47048 -73.43454 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
3 10 80.0 Greg Bugbee 41.47038 -73.43437 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
4 1 0.2 Greg Bugbee 41.57124 -73.48836 8/21/2013 0.20 Muck 0 2 0 0 0 0 0

Transect Point Shore(m) Surveyor Latitude Longitude Date (m) Substrate Notes CerDem MyrSpi NajMin NymOdo PotFol StuPec ValAme
1 1 0.5 Greg Bugbee 41.42382 -73.45253 8/20/2013 0.10 Sand 0 0 0 0 0 0 0
1 2 5.0 Greg Bugbee 41.42386 -73.45256 8/20/2013 0.40 Muck 2 2 1 0 0 0 0
1 3 10.0 Greg Bugbee 41.42390 -73.45258 8/20/2013 1.00 Muck 2 2 1 0 0 0 0
1 4 20.0 Greg Bugbee 41.42398 -73.45260 8/20/2013 1.00 Muck 2 2 1 0 0 0 0
1 5 30.0 Greg Bugbee 41.42409 -73.45261 8/20/2013 1.30 Muck 0 0 0 0 0 0 0
1 6 40.0 Greg Bugbee 41.42417 -73.45269 8/20/2013 1.50 Muck 2 0 0 0 0 0 0
1 7 50.0 Greg Bugbee 41.42428 -73.45268 8/20/2013 1.60 Muck 2 0 2 0 0 0 0
1 8 60.0 Greg Bugbee 41.42436 -73.45274 8/20/2013 1.50 Muck 2 2 0 0 0 0 0
1 9 70.0 Greg Bugbee 41.42442 -73.45281 8/20/2013 1.40 Muck 2 2 2 0 0 0 0
1 10 80.0 Greg Bugbee 41.42450 -73.45286 98/20/2013 1.20 Muck 0 0 3 0 0 0 0
2 1 0.1 Greg Bugbee 41.42767 -73.44932 8/20/2013 0.10 Gravel 2 2 0 ) 8) 0 0
2 2 5.0 Greg Bugbee 41.42764 -73.44937 8/20/2013 1.00 Sand 2 2 2 0 0 0 0
2 3 10.0 Greg Bugbee 41.42767 -73.44945 8/20/2013 2.00 Sand 3 0 0 0 0 0 0
2 4 20.0 Greg Bugbee 41.42756 -73.44953 8/20/2013 2.50 Silt 4 0 0 ) 0 0 0
2 5 30.0 Greg Bugbee 41.42750 -73.44956 8/20/2013 2.80 Sand 2 0 0 ) 0 0 0
2 6 40.0 Greg Bugbee 41.42750 -73.44974 8/20/2013 1.70 Sand 0 0 0 0 0 0 0
2 7 50.0 Greg Bugbee 41.42747 -73.44986 8/20/2013 2.50 Silt 2 0 0 0 0 0 0
2 8 60.0 Greg Bugbee 41.42732 -73.44987 8/20/2013 2.60 Silt 2 0 0 0 0 0 0
2 g 70.0 Greg Bugbee 41.42726 -73.44997 8/20/2013 2.80 Sand 2 0 0 0 0 0 0
2 10 80.0 Greg Bugbee 41.42718 -73.45006 8/20/2013 2.90 Silt 2 2 0 0 0 0 0
3 1 0.2 Greg Bugbee 41.47027 -73.43532 8/15/2013 0.20 Gravel 0 0 0 0 0 2 0
3 2 5.0 Greg Bugbee 41.47030 -73.43527 8/15/2013 0.80 Gravel 0 0 2 0 0 2 0
3 3 10.0 Greg Bugbee 41.47026 -73.43520 8/15/2013 1.60 Sand 0 2 2 0 0 0 0
3 4 20.0 Greg Bugbee 41.47027 -73.43507 8/15/2013 4.00 Sand 0 8) 0 0 0 0 0
3 5 30.0 Greg Bugbee 41.47026 -73.43493 8/15/2013 7.80 Silt 0 0 0 0 0 0 0
3 6 40.0 Greg Bugbee 41.47028 -73.43485 98/15/2013 9.00 Silt 0 0 0 0 0 0 0
3 7 50.0 Greg Bugbee 41.47039 -73.43470 98/15/2013 9.00 Silt 0 fs) 0 0 0 0 0
3 8 60.0 Greg Bugbee 41.47042 -73.43460 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
3 9 70.0 Greg Bugbee 41.47048 -73.43454 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
3 10 80.0 Greg Bugbee 41.47038 -73.43437 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
4 1 0.2 Greg Bugbee 41.57124 -73.48836 8/21/2013 0.20 Muck 0 2 0 0 0 0 0

Transect Point Shore(m) Surveyor Latitude Longitude Date (m) Substrate Notes CerDem MyrSpi NajMin NymOdo PotFol StuPec ValAme
1 1 0.5 Greg Bugbee 41.42382 -73.45253 8/20/2013 0.10 Sand 0 0 0 0 0 0 0
1 2 5.0 Greg Bugbee 41.42386 -73.45256 8/20/2013 0.40 Muck 2 2 1 0 0 0 0
1 3 10.0 Greg Bugbee 41.42390 -73.45258 8/20/2013 1.00 Muck 2 2 1 0 0 0 0
1 4 20.0 Greg Bugbee 41.42398 -73.45260 8/20/2013 1.00 Muck 2 2 1 0 0 0 0
1 5 30.0 Greg Bugbee 41.42409 -73.45261 8/20/2013 1.30 Muck 0 0 0 0 0 0 0
1 6 40.0 Greg Bugbee 41.42417 -73.45269 8/20/2013 1.50 Muck 2 0 0 0 0 0 0
1 7 50.0 Greg Bugbee 41.42428 -73.45268 8/20/2013 1.60 Muck 2 0 2 0 0 0 0
1 8 60.0 Greg Bugbee 41.42436 -73.45274 8/20/2013 1.50 Muck 2 2 0 0 0 0 0
1 9 70.0 Greg Bugbee 41.42442 -73.45281 8/20/2013 1.40 Muck 2 2 2 0 0 0 0
1 10 80.0 Greg Bugbee 41.42450 -73.45286 98/20/2013 1.20 Muck 0 0 3 0 0 0 0
2 1 0.1 Greg Bugbee 41.42767 -73.44932 8/20/2013 0.10 Gravel 2 2 0 ) 8) 0 0
2 2 5.0 Greg Bugbee 41.42764 -73.44937 8/20/2013 1.00 Sand 2 2 2 0 0 0 0
2 3 10.0 Greg Bugbee 41.42767 -73.44945 8/20/2013 2.00 Sand 3 0 0 0 0 0 0
2 4 20.0 Greg Bugbee 41.42756 -73.44953 8/20/2013 2.50 Silt 4 0 0 ) 0 0 0
2 5 30.0 Greg Bugbee 41.42750 -73.44956 8/20/2013 2.80 Sand 2 0 0 ) 0 0 0
2 6 40.0 Greg Bugbee 41.42750 -73.44974 8/20/2013 1.70 Sand 0 0 0 0 0 0 0
2 7 50.0 Greg Bugbee 41.42747 -73.44986 8/20/2013 2.50 Silt 2 0 0 0 0 0 0
2 8 60.0 Greg Bugbee 41.42732 -73.44987 8/20/2013 2.60 Silt 2 0 0 0 0 0 0
2 g 70.0 Greg Bugbee 41.42726 -73.44997 8/20/2013 2.80 Sand 2 0 0 0 0 0 0
2 10 80.0 Greg Bugbee 41.42718 -73.45006 8/20/2013 2.90 Silt 2 2 0 0 0 0 0
3 1 0.2 Greg Bugbee 41.47027 -73.43532 8/15/2013 0.20 Gravel 0 0 0 0 0 2 0
3 2 5.0 Greg Bugbee 41.47030 -73.43527 8/15/2013 0.80 Gravel 0 0 2 0 0 2 0
3 3 10.0 Greg Bugbee 41.47026 -73.43520 8/15/2013 1.60 Sand 0 2 2 0 0 0 0
3 4 20.0 Greg Bugbee 41.47027 -73.43507 8/15/2013 4.00 Sand 0 8) 0 0 0 0 0
3 5 30.0 Greg Bugbee 41.47026 -73.43493 8/15/2013 7.80 Silt 0 0 0 0 0 0 0
3 6 40.0 Greg Bugbee 41.47028 -73.43485 98/15/2013 9.00 Silt 0 0 0 0 0 0 0
3 7 50.0 Greg Bugbee 41.47039 -73.43470 98/15/2013 9.00 Silt 0 fs) 0 0 0 0 0
3 8 60.0 Greg Bugbee 41.47042 -73.43460 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
3 9 70.0 Greg Bugbee 41.47048 -73.43454 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
3 10 80.0 Greg Bugbee 41.47038 -73.43437 8/15/2013 9.20 Silt 0 0 0 0 0 0 0
4 1 0.2 Greg Bugbee 41.57124 -73.48836 8/21/2013 0.20 Muck 0 2 0 0 0 0 0

