Transect Point Shore(m) Surveyor Latitude Longitude Date (m) Substrate Notes CerDem MyrSpi NajMin NymOdo PotFol StuPec ValAme
6 7 50.0 Greg Bugbee 41.51428 -73.45342 8/20/2013 2.20 Sand 0 0 0 0 0 0 0
6 8 60.0 Greg Bugbee 41.51437 -73.45347 8/20/2013 2.90 Silt 0 2 0 0 0 0 0
6 9 70.0 Greg Bugbee 41.51447 -73.45342 8/20/2013 4.00 Silt 0 0 0 0 0 0 0
6 10 80.0 Greg Bugbee 41.51456 -73.45340 8/20/2013 4.80 Silt 0 0 0 0 0 0 0
7 1 0.1 Greg Bugbee 41.57148 -73.44273 8/20/2013 0.10 Rock 0 0 0 0 0 0 0
7 2 5.0 Greg Bugbee 41.57146 -73.44279 8/20/2013 0.80 Gravel 0 1 0 0 0 0 0

Transect Point Shore(m) Surveyor Latitude Longitude Date (m) Substrate Notes CerDem MyrSpi NajMin NymOdo PotFol StuPec ValAme
4 2 5.0 Greg Bugbee 41.57119 -73.48837 821'2013 0.60 Muck 0 2 0 0 0 0 0
4 3 10.0 Greg Bugbee 41.57114 -73.48839 8'212013 0.70 Muck 0 0 0 0 0 0 0
4 4 20.0 Greg Bugbee 41.57105 -73.48839 8/21/2013 1.10 Muck 0 2 0 2 0 0 0
4 5 30.0 Greg Bugbee 41.57099 -73.48844 8/21'2013 2.00 Silt 0 2 0 0 0 0 0
4 6 40.0 Greg Bugbee 41.57090 -73.48851 8'212013 2.00 Silt 0 2 i) 0 i) fe) 0
4 7 50.0 Greg Bugbee 41.57083 -73.48860 8/21/2013 2.20 Silt 0 0 0 0 0 0 0
4 8 60.0 Greg Bugbee 41.57072 -73.48855 8:21:2013 2.60 Silt 0 2 0 0 0 0 0
4 9 70.0 Greg Bugbee 41.57064 -73.48865 8/21:2013 2.90 Sand 0 0 0 0 0 0 0
4 10 80.0 Greg Bugbee 41.57058 -73.48871 8/21/2013 3.10 Silt 0 0 0 0 0 0 0
5 1 0.1 Greg Bugbee 41.50213 -73.45149 8/20/2013 0.10 Sand 0 0 0 0 0 0 0
5 2 5.0 Greg Bugbee 41.50216 -73.45155 8/20/2013 0.50 Sand 0 1 3 0 0 0 0
5 3 10.0 Greg Bugbee 41.50213 -73.45162 8/20/2013 1.10 Gravel 0 2 3 0 0 0 0
5 4 20.0 Greg Bugbee 41.50213 -73.45174 8/20/2013 1.50 Sand 0 0 4 0 0 0 0
5 5 30.0 Greg Bugbee 41.50207 -73.45184 8/20/2013 2.00 Sand 0 2 2 0 0 0 0
5 6 40.0 Greg Bugbee 41.50206 -73.45195 8/20/2013 2.20 Sand 0 1 0 0 0 0 0
5 7 50.0 Greg Bugbee 41.50199 -73.45204 8/20/2013 2.80 Sand 0 2 0 0 0 0 0
5 8 60.0 Greg Bugbee 41.50201 -73.45218 8/20/2013 3.90 Sand 0 0 0 0 0 0 0
5 9 70.0 Greg Bugbee 41.50203 -73.45232 8/20/2013 4.90 Silt 0 0 0 0 0 0 0
5 10 80.0 Greg Bugbee 41.50202 -73.45245 8/20/2013 5.00 Silt 0 0 0 0 0 0 0
6 1 0.1 Greg Bugbee 41.51383 -73.45336 8/20'2013 0.10 Muck 0 0 0 0 0 0 0
6 2 5.0 Greg Bugbee 41.51389 -73.45337 8'20:2013 0.50 Muck Flowering 0 4 0 0 0 0 0
6 3 10.0 Greg Bugbee 41.51393 -73.45337 8/20/2013 0.80 Muck 0 5 0 0 0 0 0
6 4 20.0 Greg Bugbee 41.51401 -73.45338 8'20:2013 1.20 Silt 0 3 0 0 0 ) 0
6 5 30.0 Greg Bugbee 41.51410 -73.45341 8/20'2013 1.60 Silt 0 3 0 0 0 0 0
6 6 40.0 Greg Bugbee 41.51419 -73.45342 8/20/2013 2.00 Silt 0 2 0 0 0 0 0
6 7 50.0 Greg Bugbee 41.51428 -73.45342 8202013 2.20 Sand 0 0 0 0 0 0 0
6 8 60.0 Greg Bugbee 41.51437 -73.45347 8'20:2013 2.90 Silt 0 2 0 0 0 0 0
6 9 70.0 Greg Bugbee 41.51447 -73.45342 8/20'2013 4.00 Silt 0 0 0 0 0 0 0
6 10 80.0 Greg Bugbee 41.51456 -73.45340 8/20/2013 4.80 Silt 0 0 0 0 0 0 0
7 1 0.1 Greg Bugbee 41.57148 -73.44273 8/20/2013 0.10 Rock 0 0 0 0 0 0 0
7 2 5.0 Greg Bugbee 41.57146 -73.44279 8/20/2013 0.80 Gravel 0 1 0 0 0 0 0

Transect Point Shore(m) Surveyor Latitude Longitude Date (m) Substrate Notes CerDem MyrSpi NajMin NymOdo PotFol StuPec ValAme
4 2 5.0 Greg Bugbee 41.57119 -73.48837 821'2013 0.60 Muck 0 2 0 0 0 0 0
4 3 10.0 Greg Bugbee 41.57114 -73.48839 8'212013 0.70 Muck 0 0 0 0 0 0 0
4 4 20.0 Greg Bugbee 41.57105 -73.48839 8/21/2013 1.10 Muck 0 2 0 2 0 0 0
4 5 30.0 Greg Bugbee 41.57099 -73.48844 8/21'2013 2.00 Silt 0 2 0 0 0 0 0
4 6 40.0 Greg Bugbee 41.57090 -73.48851 8'212013 2.00 Silt 0 2 i) 0 i) fe) 0
4 7 50.0 Greg Bugbee 41.57083 -73.48860 8/21/2013 2.20 Silt 0 0 0 0 0 0 0
4 8 60.0 Greg Bugbee 41.57072 -73.48855 8:21:2013 2.60 Silt 0 2 0 0 0 0 0
4 9 70.0 Greg Bugbee 41.57064 -73.48865 8/21:2013 2.90 Sand 0 0 0 0 0 0 0
4 10 80.0 Greg Bugbee 41.57058 -73.48871 8/21/2013 3.10 Silt 0 0 0 0 0 0 0
5 1 0.1 Greg Bugbee 41.50213 -73.45149 8/20/2013 0.10 Sand 0 0 0 0 0 0 0
5 2 5.0 Greg Bugbee 41.50216 -73.45155 8/20/2013 0.50 Sand 0 1 3 0 0 0 0
5 3 10.0 Greg Bugbee 41.50213 -73.45162 8/20/2013 1.10 Gravel 0 2 3 0 0 0 0
5 4 20.0 Greg Bugbee 41.50213 -73.45174 8/20/2013 1.50 Sand 0 0 4 0 0 0 0
5 5 30.0 Greg Bugbee 41.50207 -73.45184 8/20/2013 2.00 Sand 0 2 2 0 0 0 0
5 6 40.0 Greg Bugbee 41.50206 -73.45195 8/20/2013 2.20 Sand 0 1 0 0 0 0 0
5 7 50.0 Greg Bugbee 41.50199 -73.45204 8/20/2013 2.80 Sand 0 2 0 0 0 0 0
5 8 60.0 Greg Bugbee 41.50201 -73.45218 8/20/2013 3.90 Sand 0 0 0 0 0 0 0
5 9 70.0 Greg Bugbee 41.50203 -73.45232 8/20/2013 4.90 Silt 0 0 0 0 0 0 0
5 10 80.0 Greg Bugbee 41.50202 -73.45245 8/20/2013 5.00 Silt 0 0 0 0 0 0 0
6 1 0.1 Greg Bugbee 41.51383 -73.45336 8/20'2013 0.10 Muck 0 0 0 0 0 0 0
6 2 5.0 Greg Bugbee 41.51389 -73.45337 8'20:2013 0.50 Muck Flowering 0 4 0 0 0 0 0
6 3 10.0 Greg Bugbee 41.51393 -73.45337 8/20/2013 0.80 Muck 0 5 0 0 0 0 0
6 4 20.0 Greg Bugbee 41.51401 -73.45338 8'20:2013 1.20 Silt 0 3 0 0 0 ) 0
6 5 30.0 Greg Bugbee 41.51410 -73.45341 8/20'2013 1.60 Silt 0 3 0 0 0 0 0
6 6 40.0 Greg Bugbee 41.51419 -73.45342 8/20/2013 2.00 Silt 0 2 0 0 0 0 0
6 7 50.0 Greg Bugbee 41.51428 -73.45342 8202013 2.20 Sand 0 0 0 0 0 0 0
6 8 60.0 Greg Bugbee 41.51437 -73.45347 8'20:2013 2.90 Silt 0 2 0 0 0 0 0
6 9 70.0 Greg Bugbee 41.51447 -73.45342 8/20'2013 4.00 Silt 0 0 0 0 0 0 0
6 10 80.0 Greg Bugbee 41.51456 -73.45340 8/20/2013 4.80 Silt 0 0 0 0 0 0 0
7 1 0.1 Greg Bugbee 41.57148 -73.44273 8/20/2013 0.10 Rock 0 0 0 0 0 0 0
7 2 5.0 Greg Bugbee 41.57146 -73.44279 8/20/2013 0.80 Gravel 0 1 0 0 0 0 0

Transect Point Shore(m) Surveyor Latitude Longitude Date (m) Substrate Notes CerDem MyrSpi NajMin NymOdo PotFol StuPec ValAme
4 2 5.0 Greg Bugbee 41.57119 -73.48837 821'2013 0.60 Muck 0 2 0 0 0 0 0
4 3 10.0 Greg Bugbee 41.57114 -73.48839 8'212013 0.70 Muck 0 0 0 0 0 0 0
4 4 20.0 Greg Bugbee 41.57105 -73.48839 8/21/2013 1.10 Muck 0 2 0 2 0 0 0
4 5 30.0 Greg Bugbee 41.57099 -73.48844 8/21'2013 2.00 Silt 0 2 0 0 0 0 0
4 6 40.0 Greg Bugbee 41.57090 -73.48851 8'212013 2.00 Silt 0 2 i) 0 i) fe) 0
4 7 50.0 Greg Bugbee 41.57083 -73.48860 8/21/2013 2.20 Silt 0 0 0 0 0 0 0
4 8 60.0 Greg Bugbee 41.57072 -73.48855 8:21:2013 2.60 Silt 0 2 0 0 0 0 0
4 9 70.0 Greg Bugbee 41.57064 -73.48865 8/21:2013 2.90 Sand 0 0 0 0 0 0 0
4 10 80.0 Greg Bugbee 41.57058 -73.48871 8/21/2013 3.10 Silt 0 0 0 0 0 0 0
5 1 0.1 Greg Bugbee 41.50213 -73.45149 8/20/2013 0.10 Sand 0 0 0 0 0 0 0
5 2 5.0 Greg Bugbee 41.50216 -73.45155 8/20/2013 0.50 Sand 0 1 3 0 0 0 0
5 3 10.0 Greg Bugbee 41.50213 -73.45162 8/20/2013 1.10 Gravel 0 2 3 0 0 0 0
5 4 20.0 Greg Bugbee 41.50213 -73.45174 8/20/2013 1.50 Sand 0 0 4 0 0 0 0
5 5 30.0 Greg Bugbee 41.50207 -73.45184 8/20/2013 2.00 Sand 0 2 2 0 0 0 0
5 6 40.0 Greg Bugbee 41.50206 -73.45195 8/20/2013 2.20 Sand 0 1 0 0 0 0 0
5 7 50.0 Greg Bugbee 41.50199 -73.45204 8/20/2013 2.80 Sand 0 2 0 0 0 0 0
5 8 60.0 Greg Bugbee 41.50201 -73.45218 8/20/2013 3.90 Sand 0 0 0 0 0 0 0
5 9 70.0 Greg Bugbee 41.50203 -73.45232 8/20/2013 4.90 Silt 0 0 0 0 0 0 0
5 10 80.0 Greg Bugbee 41.50202 -73.45245 8/20/2013 5.00 Silt 0 0 0 0 0 0 0
6 1 0.1 Greg Bugbee 41.51383 -73.45336 8/20'2013 0.10 Muck 0 0 0 0 0 0 0
6 2 5.0 Greg Bugbee 41.51389 -73.45337 8'20:2013 0.50 Muck Flowering 0 4 0 0 0 0 0
6 3 10.0 Greg Bugbee 41.51393 -73.45337 8/20/2013 0.80 Muck 0 5 0 0 0 0 0
6 4 20.0 Greg Bugbee 41.51401 -73.45338 8'20:2013 1.20 Silt 0 3 0 0 0 ) 0
6 5 30.0 Greg Bugbee 41.51410 -73.45341 8/20'2013 1.60 Silt 0 3 0 0 0 0 0
6 6 40.0 Greg Bugbee 41.51419 -73.45342 8/20/2013 2.00 Silt 0 2 0 0 0 0 0
6 7 50.0 Greg Bugbee 41.51428 -73.45342 8202013 2.20 Sand 0 0 0 0 0 0 0
6 8 60.0 Greg Bugbee 41.51437 -73.45347 8'20:2013 2.90 Silt 0 2 0 0 0 0 0
6 9 70.0 Greg Bugbee 41.51447 -73.45342 8/20'2013 4.00 Silt 0 0 0 0 0 0 0
6 10 80.0 Greg Bugbee 41.51456 -73.45340 8/20/2013 4.80 Silt 0 0 0 0 0 0 0
7 1 0.1 Greg Bugbee 41.57148 -73.44273 8/20/2013 0.10 Rock 0 0 0 0 0 0 0
7 2 5.0 Greg Bugbee 41.57146 -73.44279 8/20/2013 0.80 Gravel 0 1 0 0 0 0 0

